,0
ENSG00000166922.7,0.00014235791308962034
ENSG00000135842.15,0.0018042893804374339
ENSG00000281205.1,0.0004810298102981031
ENSG00000270182.1,0.004177007991858019
ENSG00000151690.13,0.0007042957042957043
ENSG00000171223.5,5.050679832656577e-05
ENSG00000230453.8,0.0038543502701918497
ENSG00000106006.6,0.006021499093052018
ENSG00000107736.18,0.00048318459361955304
ENSG00000254369.5,0.021823908795926855
ENSG00000170893.3,0.006609909547958213
ENSG00000267453.5,0.001975411057315566
ENSG00000215114.6,0.0016412347590335045
ENSG00000163331.9,0.0012903730818665886
ENSG00000128266.8,0.0004958241758241758
ENSG00000224848.1,0.0007391144773280844
ENSG00000264918.1,0.0005164835164835166
