,0
ENSG00000170893.3,0.6306029355122028
ENSG00000106006.6,0.07373905864250692
ENSG00000267453.5,0.05300274625750425
ENSG00000254369.5,0.032298620025673935
ENSG00000135842.15,0.025287943250389855
ENSG00000270182.1,0.019857811660956445
ENSG00000158427.13,0.015345590994371475
ENSG00000148219.15,0.012076379974326066
ENSG00000116544.10,0.011879120879120889
ENSG00000281205.1,0.011213442299694868
ENSG00000163331.9,0.011169347824442774
ENSG00000003436.13,0.008505887958614115
ENSG00000158457.5,0.007431354296782116
ENSG00000171223.5,0.007409346047620086
ENSG00000230453.8,0.00708396567299005
ENSG00000264918.1,0.006122219244170475
ENSG00000166922.7,0.005974695888889225
ENSG00000229852.2,0.005822364270995414
ENSG00000224848.1,0.0057766628245982795
ENSG00000128266.8,0.0056921860885275595
ENSG00000129465.14,0.0056567242281528015
ENSG00000151690.13,0.0056397625363142695
ENSG00000133985.2,0.005497379883697784
ENSG00000186399.10,0.005054579971523494
ENSG00000215114.6,0.004832890885576204
ENSG00000075275.15,0.004717607973421925
ENSG00000005249.11,0.004329268292682926
ENSG00000114738.9,0.004131868131868132
ENSG00000107736.18,0.0038482384823848234
ENSG00000179954.13,0.0
ENSG00000179859.7,0.0
ENSG00000179855.5,0.0
ENSG00000182247.8,0.0
ENSG00000182168.13,0.0
ENSG00000181444.11,0.0
ENSG00000180071.17,0.0
ENSG00000180354.14,0.0
ENSG00000180447.6,0.0
ENSG00000180543.4,0.0
ENSG00000180549.7,0.0
ENSG00000180592.15,0.0
ENSG00000181195.9,0.0
ENSG00000181240.12,0.0
ENSG00000181433.8,0.0
ENSG00000181938.12,0.0
ENSG00000179583.16,0.0
ENSG00000179195.14,0.0
ENSG00000179542.14,0.0
ENSG00000177311.9,0.0
ENSG00000174370.8,0.0
ENSG00000174684.6,0.0
ENSG00000174996.10,0.0
ENSG00000175155.7,0.0
ENSG00000175175.5,0.0
ENSG00000175287.17,0.0
ENSG00000175697.9,0.0
ENSG00000175984.13,0.0
ENSG00000176148.14,0.0
ENSG00000176273.13,0.0
ENSG00000176697.17,0.0
ENSG00000176842.13,0.0
ENSG00000177181.13,0.0
ENSG00000177380.12,0.0
ENSG00000179314.12,0.0
ENSG00000177398.17,0.0
ENSG00000177426.19,0.0
ENSG00000177469.12,0.0
ENSG00000177508.11,0.0
ENSG00000178038.15,0.0
ENSG00000178078.10,0.0
ENSG00000178297.11,0.0
ENSG00000178498.14,0.0
ENSG00000178814.14,0.0
ENSG00000179088.13,0.0
ENSG00000179163.11,0.0
ENSG00000182600.8,0.0
ENSG00000179241.11,0.0
ENSG00000182389.17,0.0
ENSG00000183230.15,0.0
ENSG00000182621.15,0.0
ENSG00000187556.7,0.0
ENSG00000187699.9,0.0
ENSG00000187720.13,0.0
ENSG00000187772.6,0.0
ENSG00000187994.12,0.0
ENSG00000188002.9,0.0
ENSG00000188060.6,0.0
ENSG00000188153.11,0.0
ENSG00000188282.11,0.0
ENSG00000188343.11,0.0
ENSG00000188580.12,0.0
ENSG00000188620.9,0.0
ENSG00000188626.6,0.0
ENSG00000188760.9,0.0
ENSG00000188820.11,0.0
ENSG00000188827.9,0.0
ENSG00000189068.8,0.0
ENSG00000196104.9,0.0
ENSG00000196141.11,0.0
ENSG00000196220.14,0.0
ENSG00000196296.12,0.0
ENSG00000196358.9,0.0
ENSG00000196526.9,0.0
ENSG00000196557.9,0.0
ENSG00000196586.12,0.0
ENSG00000196735.10,0.0
ENSG00000196876.12,0.0
ENSG00000196935.7,0.0
ENSG00000187624.8,0.0
ENSG00000187240.12,0.0
ENSG00000182628.11,0.0
ENSG00000187123.13,0.0
ENSG00000182749.5,0.0
ENSG00000182809.9,0.0
ENSG00000182871.13,0.0
ENSG00000183092.14,0.0
ENSG00000173894.9,0.0
ENSG00000183337.15,0.0
ENSG00000183386.8,0.0
ENSG00000183853.16,0.0
ENSG00000183971.5,0.0
ENSG00000184216.10,0.0
ENSG00000184232.7,0.0
ENSG00000184384.12,0.0
ENSG00000184454.6,0.0
ENSG00000184500.13,0.0
ENSG00000184588.16,0.0
ENSG00000184916.7,0.0
ENSG00000185008.16,0.0
ENSG00000185222.7,0.0
ENSG00000185245.7,0.0
ENSG00000185561.9,0.0
ENSG00000185986.11,0.0
ENSG00000186417.12,0.0
ENSG00000186469.7,0.0
ENSG00000186564.5,0.0
ENSG00000186583.10,0.0
ENSG00000186642.14,0.0
ENSG00000186806.5,0.0
ENSG00000174059.15,0.0
ENSG00000172247.3,0.0
ENSG00000173852.12,0.0
ENSG00000165171.9,0.0
ENSG00000164120.12,0.0
ENSG00000164284.13,0.0
ENSG00000164535.13,0.0
ENSG00000164647.7,0.0
ENSG00000164684.12,0.0
ENSG00000164741.13,0.0
ENSG00000164742.13,0.0
ENSG00000164758.6,0.0
ENSG00000164879.6,0.0
ENSG00000164929.15,0.0
ENSG00000165072.9,0.0
ENSG00000165092.11,0.0
ENSG00000165138.15,0.0
ENSG00000165215.6,0.0
ENSG00000173812.9,0.0
ENSG00000165300.7,0.0
ENSG00000165533.17,0.0
ENSG00000165626.15,0.0
ENSG00000165695.8,0.0
ENSG00000165698.14,0.0
ENSG00000165716.8,0.0
ENSG00000165804.14,0.0
ENSG00000165891.14,0.0
ENSG00000165895.16,0.0
ENSG00000165914.13,0.0
ENSG00000166147.12,0.0
ENSG00000166159.9,0.0
ENSG00000166165.11,0.0
ENSG00000164116.15,0.0
ENSG00000164105.3,0.0
ENSG00000164082.13,0.0
ENSG00000164070.10,0.0
ENSG00000159714.9,0.0
ENSG00000159842.13,0.0
ENSG00000160013.7,0.0
ENSG00000160072.18,0.0
ENSG00000160401.13,0.0
ENSG00000161328.10,0.0
ENSG00000161835.9,0.0
ENSG00000161940.9,0.0
ENSG00000162063.11,0.0
ENSG00000162078.10,0.0
ENSG00000162174.11,0.0
ENSG00000162236.10,0.0
ENSG00000162433.13,0.0
ENSG00000162482.4,0.0
ENSG00000162631.17,0.0
ENSG00000162654.8,0.0
ENSG00000162714.11,0.0
ENSG00000162852.12,0.0
ENSG00000163040.13,0.0
ENSG00000163069.11,0.0
ENSG00000163106.9,0.0
ENSG00000163393.11,0.0
ENSG00000163431.12,0.0
ENSG00000163637.10,0.0
ENSG00000163710.6,0.0
ENSG00000163734.4,0.0
ENSG00000164056.9,0.0
ENSG00000166173.10,0.0
ENSG00000166394.13,0.0
ENSG00000166444.16,0.0
ENSG00000170549.3,0.0
ENSG00000170791.16,0.0
ENSG00000170801.8,0.0
ENSG00000170873.17,0.0
ENSG00000170891.9,0.0
ENSG00000170921.13,0.0
ENSG00000170962.11,0.0
ENSG00000170989.8,0.0
ENSG00000171160.16,0.0
ENSG00000171202.5,0.0
ENSG00000171206.12,0.0
ENSG00000171365.14,0.0
ENSG00000171425.8,0.0
ENSG00000171467.14,0.0
ENSG00000171517.5,0.0
ENSG00000171643.12,0.0
ENSG00000171724.2,0.0
ENSG00000171729.12,0.0
ENSG00000171914.13,0.0
ENSG00000172037.12,0.0
ENSG00000172179.10,0.0
ENSG00000172236.15,0.0
ENSG00000197081.11,0.0
ENSG00000172482.4,0.0
ENSG00000172817.3,0.0
ENSG00000172889.14,0.0
ENSG00000173698.16,0.0
ENSG00000173801.15,0.0
ENSG00000170677.5,0.0
ENSG00000170545.15,0.0
ENSG00000166482.10,0.0
ENSG00000170542.5,0.0
ENSG00000166562.7,0.0
ENSG00000166681.12,0.0
ENSG00000166825.12,0.0
ENSG00000166908.16,0.0
ENSG00000167034.9,0.0
ENSG00000167173.17,0.0
ENSG00000167306.17,0.0
ENSG00000167363.12,0.0
ENSG00000167419.9,0.0
ENSG00000167549.17,0.0
ENSG00000167600.12,0.0
ENSG00000167664.7,0.0
ENSG00000168078.8,0.0
ENSG00000168806.7,0.0
ENSG00000168899.4,0.0
ENSG00000168916.14,0.0
ENSG00000168938.5,0.0
ENSG00000169126.14,0.0
ENSG00000169184.5,0.0
ENSG00000169313.9,0.0
ENSG00000169432.13,0.0
ENSG00000169442.7,0.0
ENSG00000169752.15,0.0
ENSG00000170004.15,0.0
ENSG00000170153.9,0.0
ENSG00000170293.7,0.0
ENSG00000170439.6,0.0
ENSG00000196954.11,0.0
ENSG00000197847.11,0.0
ENSG00000197119.11,0.0
ENSG00000260708.1,0.0
ENSG00000257556.1,0.0
ENSG00000257582.4,0.0
ENSG00000257654.1,0.0
ENSG00000257718.1,0.0
ENSG00000257883.1,0.0
ENSG00000258365.1,0.0
ENSG00000258733.4,0.0
ENSG00000259207.6,0.0
ENSG00000259630.2,0.0
ENSG00000260027.4,0.0
ENSG00000260182.1,0.0
ENSG00000260249.2,0.0
ENSG00000260261.1,0.0
ENSG00000260802.1,0.0
ENSG00000266074.7,0.0
ENSG00000261064.1,0.0
ENSG00000261218.4,0.0
ENSG00000261308.1,0.0
ENSG00000261377.4,0.0
ENSG00000261572.1,0.0
ENSG00000261586.2,0.0
ENSG00000261649.4,0.0
ENSG00000261971.5,0.0
ENSG00000262223.5,0.0
ENSG00000262482.1,0.0
ENSG00000262877.4,0.0
ENSG00000263366.2,0.0
ENSG00000263465.3,0.0
ENSG00000256797.1,0.0
ENSG00000256271.1,0.0
ENSG00000255468.5,0.0
ENSG00000254854.1,0.0
ENSG00000240350.2,0.0
ENSG00000240990.8,0.0
ENSG00000241360.1,0.0
ENSG00000241644.2,0.0
ENSG00000241911.1,0.0
ENSG00000242574.7,0.0
ENSG00000242600.5,0.0
ENSG00000243587.6,0.0
ENSG00000244005.11,0.0
ENSG00000244242.1,0.0
ENSG00000244273.1,0.0
ENSG00000244479.5,0.0
ENSG00000244558.4,0.0
ENSG00000244627.4,0.0
ENSG00000245552.5,0.0
ENSG00000246528.3,0.0
ENSG00000248334.5,0.0
ENSG00000248347.3,0.0
ENSG00000249252.4,0.0
ENSG00000250696.4,0.0
ENSG00000251136.7,0.0
ENSG00000251602.5,0.0
ENSG00000253187.2,0.0
ENSG00000253293.4,0.0
ENSG00000253552.6,0.0
ENSG00000254006.4,0.0
ENSG00000254560.4,0.0
ENSG00000263961.5,0.0
ENSG00000266709.1,0.0
ENSG00000197253.12,0.0
ENSG00000276600.3,0.0
ENSG00000272692.1,0.0
ENSG00000272870.1,0.0
ENSG00000273170.4,0.0
ENSG00000273314.1,0.0
ENSG00000273403.1,0.0
ENSG00000273472.1,0.0
ENSG00000274026.1,0.0
ENSG00000274349.3,0.0
ENSG00000274736.3,0.0
ENSG00000275325.3,0.0
ENSG00000275342.3,0.0
ENSG00000275542.1,0.0
ENSG00000276141.3,0.0
ENSG00000277232.2,0.0
ENSG00000266733.4,0.0
ENSG00000277443.1,0.0
ENSG00000277867.1,0.0
ENSG00000278023.3,0.0
ENSG00000278730.1,0.0
ENSG00000278969.1,0.0
ENSG00000279692.1,0.0
ENSG00000279766.1,0.0
ENSG00000279978.1,0.0
ENSG00000280206.1,0.0
ENSG00000280255.1,0.0
ENSG00000280303.2,0.0
ENSG00000280721.1,0.0
ENSG00000280777.1,0.0
ENSG00000272631.1,0.0
ENSG00000272620.1,0.0
ENSG00000272491.1,0.0
ENSG00000272405.1,0.0
ENSG00000266964.4,0.0
ENSG00000267023.4,0.0
ENSG00000267206.4,0.0
ENSG00000267254.4,0.0
ENSG00000267365.1,0.0
ENSG00000267801.1,0.0
ENSG00000268027.4,0.0
ENSG00000268549.1,0.0
ENSG00000268686.1,0.0
ENSG00000268940.4,0.0
ENSG00000269086.2,0.0
ENSG00000269226.6,0.0
ENSG00000269243.1,0.0
ENSG00000269246.1,0.0
ENSG00000269586.6,0.0
ENSG00000270728.1,0.0
ENSG00000270977.1,0.0
ENSG00000271013.1,0.0
ENSG00000271109.1,0.0
ENSG00000271387.1,0.0
ENSG00000271447.4,0.0
ENSG00000271474.1,0.0
