,0
ENSG00000166922.7,0.005974695888889225
ENSG00000135842.15,0.025287943250389855
ENSG00000281205.1,0.011213442299694868
ENSG00000270182.1,0.019857811660956445
ENSG00000151690.13,0.0056397625363142695
ENSG00000171223.5,0.007409346047620086
ENSG00000230453.8,0.00708396567299005
ENSG00000106006.6,0.07373905864250692
ENSG00000107736.18,0.0038482384823848234
ENSG00000254369.5,0.032298620025673935
ENSG00000170893.3,0.6306029355122028
ENSG00000267453.5,0.05300274625750425
ENSG00000215114.6,0.004832890885576204
ENSG00000163331.9,0.011169347824442774
ENSG00000128266.8,0.0056921860885275595
ENSG00000224848.1,0.0057766628245982795
ENSG00000264918.1,0.006122219244170475
